epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.28154,2.52722,5.24798,1.44492,0.00082,0.05671,0.001,0.00022,1.87045,4.32945,1.06882,0.00032,0.00032,0.00032
2,5.83233,1.94447,3.08354,1.13613,0.00295,0.19697,0.15701,0.1017,1.75646,3.6572,1.10173,0.000646782,0.000646782,0.000646782
3,8.43573,1.75666,2.34974,1.09122,1,0.10697,0.35161,0.19666,1.79944,2.84353,1.11709,0.000970298,0.000970298,0.000970298
4,10.9526,1.67797,1.96982,1.06653,0.87299,0.22764,0.49277,0.26706,1.63967,2.28917,1.0755,0.00098515,0.00098515,0.00098515
5,13.4768,1.58243,1.75216,1.05126,0.57605,0.55504,0.59209,0.31705,1.57297,1.42163,1.05329,0.0009802,0.0009802,0.0009802
6,15.9923,1.49713,1.54011,1.0204,0.64897,0.67469,0.68208,0.34344,1.55139,1.30435,1.02203,0.00097525,0.00097525,0.00097525
7,18.5086,1.46045,1.46579,1.01109,0.69051,0.67994,0.72819,0.38812,1.47529,1.19559,1.00073,0.0009703,0.0009703,0.0009703
8,21.0393,1.44529,1.3634,1.00434,0.78884,0.56086,0.70658,0.41298,1.44318,1.25227,1.00783,0.00096535,0.00096535,0.00096535
9,23.5747,1.3782,1.27668,0.98882,0.71694,0.80924,0.82811,0.47474,1.30568,1.03535,0.9677,0.0009604,0.0009604,0.0009604
10,26.0785,1.33732,1.1838,0.98692,0.78723,0.77309,0.86255,0.45466,1.36949,1.0787,0.98319,0.00095545,0.00095545,0.00095545
11,28.5968,1.33207,1.16042,0.98636,0.81954,0.77653,0.85474,0.47088,1.42934,0.97775,0.99696,0.0009505,0.0009505,0.0009505
12,31.127,1.26328,1.07852,0.97042,0.85972,0.76299,0.87155,0.51019,1.34994,0.96624,0.9706,0.00094555,0.00094555,0.00094555
13,33.6552,1.31184,1.07012,0.98071,0.90546,0.77125,0.90086,0.52197,1.43511,1.05586,0.99643,0.0009406,0.0009406,0.0009406
14,36.2523,1.27213,1.03157,0.96391,0.78882,0.86166,0.91811,0.53087,1.36238,0.87912,0.98736,0.00093565,0.00093565,0.00093565
15,38.7787,1.27275,1.01813,0.95783,0.86135,0.84766,0.91634,0.50925,1.33788,0.84704,0.97417,0.0009307,0.0009307,0.0009307
16,41.3035,1.25354,0.96603,0.95239,0.78312,0.86126,0.88152,0.55246,1.26206,0.82425,0.94893,0.00092575,0.00092575,0.00092575
17,43.831,1.20541,0.94622,0.95704,0.91788,0.82763,0.90645,0.55182,1.2374,0.82942,0.95412,0.0009208,0.0009208,0.0009208
18,46.3266,1.25325,0.93205,0.95783,0.78591,0.88564,0.87848,0.52858,1.31319,0.82079,0.95923,0.00091585,0.00091585,0.00091585
19,48.832,1.20008,0.89829,0.94444,0.87154,0.85393,0.91187,0.51809,1.25131,0.82929,0.94759,0.0009109,0.0009109,0.0009109
20,51.3289,1.16835,0.86282,0.9373,0.83921,0.80461,0.91974,0.55946,1.22821,0.77985,0.93953,0.00090595,0.00090595,0.00090595
21,53.8417,1.14562,0.83913,0.92808,0.91603,0.8861,0.95387,0.5696,1.23807,0.7446,0.94572,0.000901,0.000901,0.000901
22,56.3425,1.14899,0.85251,0.9368,0.91373,0.90563,0.94058,0.55477,1.30014,0.77435,0.96121,0.00089605,0.00089605,0.00089605
23,58.8281,1.11969,0.80647,0.92363,0.91512,0.89659,0.94399,0.59904,1.18382,0.70677,0.92933,0.0008911,0.0008911,0.0008911
24,61.456,1.1159,0.78161,0.92081,0.92198,0.8932,0.93788,0.53831,1.3031,0.7557,0.95177,0.00088615,0.00088615,0.00088615
25,63.9326,1.15454,0.80881,0.92343,0.90251,0.90509,0.94682,0.56409,1.26749,0.73622,0.94505,0.0008812,0.0008812,0.0008812
26,66.4204,1.1208,0.77744,0.91663,0.89782,0.86859,0.91476,0.58002,1.18838,0.73619,0.93882,0.00087625,0.00087625,0.00087625
27,68.9348,1.10448,0.75563,0.91814,0.92883,0.85277,0.91824,0.5812,1.1845,0.72623,0.93438,0.0008713,0.0008713,0.0008713
28,71.518,1.06088,0.75123,0.90294,0.88558,0.92772,0.95087,0.59054,1.1687,0.67057,0.93107,0.00086635,0.00086635,0.00086635
29,74.0207,1.08759,0.76471,0.91539,0.92418,0.87059,0.91989,0.57241,1.19584,0.7125,0.93781,0.0008614,0.0008614,0.0008614
30,76.5346,1.06807,0.74604,0.90967,0.86846,0.86644,0.91338,0.56003,1.24837,0.70587,0.9459,0.00085645,0.00085645,0.00085645
31,79.0466,1.06548,0.73112,0.91305,0.90237,0.92087,0.95053,0.58787,1.19431,0.67509,0.94245,0.0008515,0.0008515,0.0008515
32,81.5694,1.09176,0.7436,0.90125,0.93057,0.92261,0.96883,0.57878,1.17994,0.69106,0.94068,0.00084655,0.00084655,0.00084655
33,84.0872,1.05639,0.70836,0.90955,0.91072,0.91178,0.93899,0.58253,1.17558,0.67596,0.92829,0.0008416,0.0008416,0.0008416
34,86.5825,1.05882,0.70841,0.90712,0.91607,0.94398,0.96018,0.56677,1.20181,0.67867,0.93579,0.00083665,0.00083665,0.00083665
35,89.1409,1.06571,0.70335,0.9046,0.88851,0.94165,0.94426,0.57138,1.17054,0.66648,0.94211,0.0008317,0.0008317,0.0008317
36,91.629,1.04449,0.69763,0.90581,0.91986,0.92845,0.95544,0.60014,1.16252,0.63284,0.92131,0.00082675,0.00082675,0.00082675
37,94.169,1.01165,0.67277,0.8899,0.87879,0.93811,0.93343,0.59101,1.17709,0.64775,0.9294,0.0008218,0.0008218,0.0008218
38,96.6582,1.01757,0.67799,0.90234,0.89032,0.92067,0.94653,0.60677,1.14552,0.63557,0.91768,0.00081685,0.00081685,0.00081685
39,99.1675,1.01704,0.68072,0.89595,0.94359,0.90522,0.95261,0.62166,1.14262,0.63407,0.92155,0.0008119,0.0008119,0.0008119
40,101.683,1.01124,0.67766,0.89189,0.9344,0.91595,0.96679,0.60141,1.11844,0.60463,0.91787,0.00080695,0.00080695,0.00080695
41,104.201,1.00618,0.66769,0.88301,0.92727,0.94159,0.96342,0.61307,1.1659,0.62645,0.93351,0.000802,0.000802,0.000802
42,106.682,1.01874,0.6676,0.89931,0.9499,0.92794,0.96562,0.61498,1.14884,0.62865,0.92661,0.00079705,0.00079705,0.00079705
43,109.185,1.02684,0.68418,0.90658,0.91153,0.91554,0.95005,0.61122,1.132,0.64228,0.9206,0.0007921,0.0007921,0.0007921
44,111.686,1.00818,0.64966,0.89756,0.94772,0.89559,0.9525,0.58087,1.20102,0.64204,0.95419,0.00078715,0.00078715,0.00078715
45,114.186,1.02279,0.65436,0.89371,0.94399,0.92863,0.95338,0.6249,1.13274,0.6085,0.9152,0.0007822,0.0007822,0.0007822
46,116.718,0.96416,0.62956,0.88308,0.89773,0.89737,0.93774,0.5979,1.18016,0.62468,0.9289,0.00077725,0.00077725,0.00077725
47,119.302,0.97198,0.61562,0.89191,0.90768,0.91706,0.94008,0.59597,1.14794,0.61102,0.92025,0.0007723,0.0007723,0.0007723
48,121.804,0.979,0.62395,0.88571,0.94806,0.93061,0.95367,0.61234,1.17526,0.61882,0.92261,0.00076735,0.00076735,0.00076735
49,124.305,0.99012,0.63009,0.8831,0.95468,0.92752,0.95957,0.6084,1.1288,0.59306,0.92262,0.0007624,0.0007624,0.0007624
50,126.787,0.99513,0.62762,0.89717,0.95907,0.89462,0.94774,0.63249,1.07774,0.58405,0.91052,0.00075745,0.00075745,0.00075745
51,129.325,0.98183,0.6175,0.88428,0.94675,0.95246,0.96022,0.61708,1.14045,0.60613,0.91967,0.0007525,0.0007525,0.0007525
52,131.812,0.97103,0.61639,0.87763,0.96794,0.93985,0.97323,0.62019,1.17305,0.64774,0.93104,0.00074755,0.00074755,0.00074755
53,134.304,0.96509,0.60792,0.88699,0.90633,0.9335,0.95695,0.61481,1.15584,0.62483,0.91542,0.0007426,0.0007426,0.0007426
54,136.853,0.95425,0.60266,0.87653,0.9256,0.93649,0.94837,0.59155,1.17527,0.60378,0.93,0.00073765,0.00073765,0.00073765
55,139.335,0.95428,0.60944,0.88557,0.92196,0.95792,0.97179,0.6383,1.12821,0.60356,0.91812,0.0007327,0.0007327,0.0007327
56,141.924,0.95718,0.61244,0.87937,0.90207,0.95355,0.96214,0.64632,1.09035,0.59661,0.91491,0.00072775,0.00072775,0.00072775
57,144.428,0.91385,0.59115,0.87055,0.94314,0.95748,0.97205,0.64466,1.1076,0.58065,0.9099,0.0007228,0.0007228,0.0007228
58,146.912,0.92577,0.60015,0.86755,0.96178,0.97715,0.97306,0.66438,1.1109,0.57994,0.90422,0.00071785,0.00071785,0.00071785
59,149.412,0.92672,0.59436,0.8775,0.93245,0.96564,0.97596,0.65547,1.07984,0.56431,0.90539,0.0007129,0.0007129,0.0007129
60,151.887,0.92248,0.59462,0.88074,0.9405,0.95604,0.96396,0.64171,1.12123,0.59731,0.90995,0.00070795,0.00070795,0.00070795
61,154.375,0.94053,0.58872,0.87275,0.94852,0.97218,0.97195,0.64486,1.11114,0.59833,0.9138,0.000703,0.000703,0.000703
62,156.889,0.92354,0.57232,0.87343,0.95676,0.97168,0.97166,0.64808,1.08399,0.57004,0.90789,0.00069805,0.00069805,0.00069805
63,159.405,0.92246,0.58062,0.87724,0.94257,0.97493,0.97086,0.62511,1.11076,0.56942,0.90534,0.0006931,0.0006931,0.0006931
64,161.921,0.88374,0.562,0.86717,0.9502,0.94588,0.97013,0.61818,1.11604,0.58054,0.91856,0.00068815,0.00068815,0.00068815
65,164.422,0.94209,0.58573,0.882,0.95425,0.97575,0.97485,0.64013,1.10665,0.57828,0.9071,0.0006832,0.0006832,0.0006832
66,167.014,0.91535,0.56982,0.87431,0.94555,0.98393,0.97843,0.65744,1.07306,0.5634,0.9053,0.00067825,0.00067825,0.00067825
67,169.562,0.91783,0.55936,0.86502,0.94582,0.95861,0.97373,0.6685,1.10534,0.54302,0.91639,0.0006733,0.0006733,0.0006733
68,172.095,0.93311,0.58286,0.87138,0.94794,0.93714,0.97189,0.6424,1.12687,0.55488,0.91588,0.00066835,0.00066835,0.00066835
69,174.604,0.89628,0.55346,0.86562,0.94722,0.97666,0.97932,0.6594,1.07406,0.53457,0.89963,0.0006634,0.0006634,0.0006634
70,177.104,0.89298,0.56013,0.85577,0.94175,0.98078,0.98299,0.67092,1.06265,0.55568,0.90568,0.00065845,0.00065845,0.00065845
71,179.637,0.88308,0.55096,0.86019,0.9194,0.971,0.97167,0.63389,1.18613,0.59201,0.92314,0.0006535,0.0006535,0.0006535
72,182.157,0.88535,0.54753,0.86229,0.95372,0.98312,0.98448,0.65882,1.11889,0.55937,0.90722,0.00064855,0.00064855,0.00064855
73,184.675,0.8996,0.56445,0.87598,0.94453,0.96258,0.97425,0.64811,1.07594,0.54953,0.90624,0.0006436,0.0006436,0.0006436
74,187.177,0.86069,0.54134,0.86473,0.94617,0.95238,0.97366,0.66765,1.04866,0.52823,0.89832,0.00063865,0.00063865,0.00063865
75,189.691,0.87853,0.54383,0.86929,0.94783,0.94075,0.97645,0.66575,1.08656,0.55074,0.90622,0.0006337,0.0006337,0.0006337
76,192.215,0.89722,0.5605,0.86494,0.94103,0.95265,0.9734,0.64433,1.12655,0.58087,0.90998,0.00062875,0.00062875,0.00062875
77,194.729,0.86037,0.53757,0.85491,0.9383,0.98367,0.97749,0.6593,1.08612,0.55226,0.90565,0.0006238,0.0006238,0.0006238
78,197.315,0.87311,0.53995,0.86283,0.94744,0.97913,0.98157,0.65463,1.09369,0.54577,0.90334,0.00061885,0.00061885,0.00061885
79,199.832,0.88004,0.5506,0.86045,0.90287,0.95162,0.9659,0.64499,1.0792,0.56034,0.89793,0.0006139,0.0006139,0.0006139
80,202.385,0.87311,0.53253,0.86815,0.95395,0.96408,0.983,0.63545,1.12609,0.55071,0.91051,0.00060895,0.00060895,0.00060895
81,204.884,0.85793,0.54032,0.87112,0.94532,0.97995,0.97902,0.65154,1.15935,0.55067,0.91286,0.000604,0.000604,0.000604
82,207.377,0.8642,0.54418,0.86661,0.95552,0.93788,0.97629,0.62828,1.10127,0.54508,0.90766,0.00059905,0.00059905,0.00059905
83,209.854,0.83321,0.52044,0.85463,0.93832,0.94753,0.96456,0.61892,1.14578,0.57267,0.9126,0.0005941,0.0005941,0.0005941
84,212.352,0.84643,0.52483,0.85127,0.94294,0.97364,0.98014,0.6403,1.13253,0.55009,0.914,0.00058915,0.00058915,0.00058915
85,214.865,0.84693,0.5298,0.85898,0.93309,0.9716,0.97841,0.6513,1.09108,0.5499,0.90592,0.0005842,0.0005842,0.0005842
