epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,70.4522,1.07464,0.73927,0.90431,0.9508,0.84952,0.91195,0.56863,1.2421,0.73356,0.94821,0.00079705,0.00079705,0.00079705
43,72.0753,1.03561,0.71031,0.89721,0.93007,0.84101,0.92062,0.57289,1.23228,0.72115,0.95686,0.0007921,0.0007921,0.0007921
44,73.7256,1.0488,0.7158,0.89888,0.88411,0.80193,0.89173,0.5711,1.22845,0.73284,0.94565,0.00078715,0.00078715,0.00078715
45,75.3527,1.07697,0.74208,0.90114,0.95238,0.82903,0.89901,0.55583,1.24291,0.72235,0.94693,0.0007822,0.0007822,0.0007822
46,76.9666,1.04719,0.70879,0.89405,0.94152,0.86985,0.91253,0.56455,1.21712,0.71838,0.94396,0.00077725,0.00077725,0.00077725
47,78.5886,1.08265,0.7182,0.90689,0.94061,0.80709,0.90307,0.54076,1.19357,0.70039,0.94193,0.0007723,0.0007723,0.0007723
48,80.2261,1.03451,0.69383,0.89343,0.91477,0.86543,0.90304,0.55625,1.25064,0.68482,0.95875,0.00076735,0.00076735,0.00076735
49,81.8432,1.02104,0.68629,0.898,0.94216,0.78578,0.88014,0.56001,1.19572,0.7203,0.94195,0.0007624,0.0007624,0.0007624
50,83.4678,1.02315,0.68127,0.89238,0.88906,0.79916,0.89781,0.5626,1.22713,0.70714,0.94619,0.00075745,0.00075745,0.00075745
51,85.0856,1.0755,0.71143,0.90979,0.89722,0.84904,0.90365,0.55835,1.24219,0.70421,0.94648,0.0007525,0.0007525,0.0007525
52,86.7156,1.02939,0.68112,0.89202,0.90406,0.86487,0.91244,0.56557,1.21353,0.67399,0.95261,0.00074755,0.00074755,0.00074755
53,88.3273,1.05255,0.69261,0.9132,0.96195,0.83154,0.88903,0.54554,1.22073,0.71542,0.94958,0.0007426,0.0007426,0.0007426
54,89.9642,1.04473,0.68345,0.89637,0.89759,0.81925,0.86912,0.51767,1.25756,0.71625,0.95723,0.00073765,0.00073765,0.00073765
55,91.5797,1.01831,0.6794,0.88949,0.96259,0.85924,0.94296,0.57872,1.19207,0.67559,0.9403,0.0007327,0.0007327,0.0007327
56,93.2303,1.00936,0.65846,0.8944,0.94875,0.77236,0.90498,0.54353,1.19472,0.69186,0.93677,0.00072775,0.00072775,0.00072775
57,94.8636,0.98654,0.66296,0.89053,0.88892,0.84489,0.92341,0.59835,1.17541,0.67841,0.92901,0.0007228,0.0007228,0.0007228
58,96.5082,1.00209,0.66188,0.88926,0.92908,0.8712,0.93543,0.59655,1.21024,0.68245,0.94378,0.00071785,0.00071785,0.00071785
59,98.1207,0.97872,0.65955,0.89081,0.92445,0.83327,0.92535,0.5587,1.20455,0.6876,0.95197,0.0007129,0.0007129,0.0007129
60,99.7445,0.96354,0.64522,0.88642,0.9344,0.83649,0.92287,0.59145,1.16814,0.65648,0.92663,0.00070795,0.00070795,0.00070795
61,101.357,1.00548,0.64885,0.89189,0.94533,0.85024,0.93189,0.59726,1.19342,0.65606,0.939,0.000703,0.000703,0.000703
62,102.959,1.01614,0.67354,0.89247,0.92738,0.85063,0.93015,0.5747,1.21158,0.6732,0.9451,0.00069805,0.00069805,0.00069805
63,104.585,0.9765,0.64991,0.88117,0.9692,0.82488,0.91764,0.56791,1.20928,0.67485,0.94299,0.0006931,0.0006931,0.0006931
64,106.214,0.99529,0.64279,0.88738,0.92674,0.8005,0.9084,0.58136,1.16458,0.71321,0.9363,0.00068815,0.00068815,0.00068815
65,107.838,0.9548,0.63235,0.88173,0.92758,0.82297,0.88172,0.55673,1.21689,0.76818,0.94602,0.0006832,0.0006832,0.0006832
66,109.439,0.9483,0.62046,0.86871,0.94279,0.81505,0.90653,0.56361,1.21794,0.67898,0.93891,0.00067825,0.00067825,0.00067825
67,111.064,0.98218,0.65055,0.88784,0.92614,0.79982,0.89298,0.56702,1.18825,0.73156,0.938,0.0006733,0.0006733,0.0006733
68,112.684,0.97083,0.62914,0.88645,0.9596,0.84918,0.91621,0.57004,1.24633,0.69096,0.95266,0.00066835,0.00066835,0.00066835
69,114.299,0.97452,0.6258,0.88174,0.8886,0.83965,0.9028,0.55913,1.19593,0.6844,0.93804,0.0006634,0.0006634,0.0006634
70,115.904,0.93885,0.61127,0.86879,0.92513,0.80744,0.88805,0.53604,1.24894,0.73687,0.9443,0.00065845,0.00065845,0.00065845
71,117.522,0.96093,0.61807,0.8757,0.92037,0.87269,0.91866,0.5705,1.18966,0.68179,0.9322,0.0006535,0.0006535,0.0006535
72,119.16,0.93731,0.60105,0.87467,0.95213,0.88913,0.95929,0.63096,1.1244,0.60918,0.9204,0.00064855,0.00064855,0.00064855
73,120.79,0.94287,0.60775,0.87691,0.96936,0.87899,0.95552,0.61729,1.18451,0.6147,0.93358,0.0006436,0.0006436,0.0006436
74,122.439,0.96214,0.59844,0.88185,0.92601,0.90804,0.94752,0.60269,1.1812,0.61475,0.93066,0.00063865,0.00063865,0.00063865
75,124.068,0.93514,0.59084,0.87327,0.91767,0.87679,0.92948,0.60859,1.19167,0.65261,0.9316,0.0006337,0.0006337,0.0006337
76,125.701,0.90497,0.58939,0.87252,0.91237,0.82489,0.9117,0.5948,1.14782,0.66603,0.92434,0.00062875,0.00062875,0.00062875
77,127.319,0.92642,0.59391,0.87369,0.89085,0.87984,0.93973,0.60122,1.19726,0.65607,0.93424,0.0006238,0.0006238,0.0006238
78,128.939,0.94854,0.59653,0.88459,0.94869,0.89176,0.95134,0.63272,1.12768,0.64639,0.92444,0.00061885,0.00061885,0.00061885
79,130.597,0.93287,0.59999,0.87972,0.9239,0.89959,0.94725,0.60959,1.14989,0.63863,0.92463,0.0006139,0.0006139,0.0006139
80,132.242,0.92221,0.59098,0.87177,0.90574,0.88769,0.93926,0.62176,1.12066,0.63342,0.92255,0.00060895,0.00060895,0.00060895
81,133.855,0.89863,0.56944,0.86727,0.91965,0.84227,0.93424,0.6159,1.14959,0.62023,0.92065,0.000604,0.000604,0.000604
82,135.462,0.9267,0.60208,0.87004,0.90065,0.90297,0.95404,0.62588,1.15523,0.61029,0.91843,0.00059905,0.00059905,0.00059905
83,137.087,0.88681,0.57237,0.86421,0.91664,0.89455,0.94335,0.59336,1.14454,0.61061,0.93768,0.0005941,0.0005941,0.0005941
84,138.706,0.8551,0.55419,0.85858,0.93545,0.91683,0.93482,0.61826,1.15335,0.62257,0.92619,0.00058915,0.00058915,0.00058915
85,140.342,0.89737,0.5825,0.87238,0.94,0.86577,0.93303,0.61666,1.17658,0.64418,0.93694,0.0005842,0.0005842,0.0005842
86,141.953,0.92819,0.58341,0.86687,0.94894,0.87783,0.94941,0.64339,1.13298,0.62255,0.92366,0.00057925,0.00057925,0.00057925
87,143.61,0.91302,0.55987,0.86116,0.94846,0.84993,0.9356,0.61867,1.15365,0.63976,0.92555,0.0005743,0.0005743,0.0005743
88,145.249,0.90072,0.56743,0.86726,0.97829,0.85148,0.94367,0.60666,1.15653,0.61253,0.92448,0.00056935,0.00056935,0.00056935
89,146.869,0.90499,0.56487,0.86932,0.96208,0.86537,0.93388,0.60615,1.17655,0.60526,0.93009,0.0005644,0.0005644,0.0005644
90,148.485,0.8845,0.55648,0.86708,0.94416,0.87745,0.92986,0.59357,1.13578,0.61789,0.91848,0.00055945,0.00055945,0.00055945
91,150.108,0.85039,0.53869,0.85109,0.91836,0.86844,0.92395,0.61014,1.12621,0.6247,0.9232,0.0005545,0.0005545,0.0005545
92,151.744,0.8495,0.543,0.85802,0.92669,0.90746,0.95472,0.62979,1.1318,0.60278,0.91718,0.00054955,0.00054955,0.00054955
93,153.353,0.87872,0.5629,0.87089,0.96706,0.85637,0.94907,0.62533,1.12238,0.60756,0.91774,0.0005446,0.0005446,0.0005446
94,154.978,0.84212,0.53526,0.85845,0.91886,0.88852,0.95658,0.62052,1.12852,0.60698,0.91409,0.00053965,0.00053965,0.00053965
95,156.594,0.87556,0.55089,0.8618,0.9469,0.85596,0.94934,0.61186,1.15526,0.62576,0.92359,0.0005347,0.0005347,0.0005347
96,158.232,0.89311,0.55744,0.86068,0.92948,0.86224,0.91493,0.59194,1.15815,0.62442,0.92091,0.00052975,0.00052975,0.00052975
97,159.852,0.86183,0.53901,0.85973,0.90782,0.83491,0.9283,0.6119,1.1343,0.61846,0.91951,0.0005248,0.0005248,0.0005248
98,161.458,0.86093,0.54908,0.8637,0.89867,0.92294,0.9585,0.63752,1.13832,0.60264,0.91399,0.00051985,0.00051985,0.00051985
99,163.065,0.85783,0.53127,0.8633,0.92439,0.90098,0.95225,0.62405,1.14421,0.61515,0.91985,0.0005149,0.0005149,0.0005149
100,164.71,0.79942,0.51074,0.85204,0.941,0.93883,0.96797,0.62164,1.14735,0.59627,0.92718,0.00050995,0.00050995,0.00050995
101,166.326,0.8419,0.54027,0.85877,0.942,0.91881,0.95844,0.58274,1.17414,0.59618,0.93107,0.000505,0.000505,0.000505
102,167.941,0.83912,0.52573,0.86607,0.95893,0.90119,0.96832,0.61741,1.12409,0.58065,0.91435,0.00050005,0.00050005,0.00050005
103,169.59,0.83902,0.52289,0.85402,0.93339,0.90156,0.96226,0.62422,1.12067,0.58616,0.91106,0.0004951,0.0004951,0.0004951
104,171.223,0.85816,0.54542,0.85411,0.9183,0.90073,0.94426,0.60344,1.14286,0.59954,0.93073,0.00049015,0.00049015,0.00049015
105,172.838,0.84564,0.54923,0.86084,0.93688,0.92612,0.95571,0.6363,1.11449,0.58652,0.92307,0.0004852,0.0004852,0.0004852
106,174.464,0.86205,0.53693,0.85795,0.95551,0.8984,0.9597,0.62773,1.14005,0.58795,0.91306,0.00048025,0.00048025,0.00048025
107,176.117,0.84813,0.53164,0.8562,0.95433,0.90243,0.95761,0.61655,1.12481,0.59119,0.9201,0.0004753,0.0004753,0.0004753
108,177.751,0.81995,0.51612,0.84712,0.95717,0.89754,0.95972,0.61551,1.14992,0.5963,0.93173,0.00047035,0.00047035,0.00047035
109,179.372,0.83087,0.51824,0.84509,0.93869,0.90802,0.95908,0.63566,1.11467,0.57831,0.93058,0.0004654,0.0004654,0.0004654
110,180.985,0.81935,0.51064,0.85079,0.95059,0.92719,0.96791,0.62833,1.17095,0.57539,0.94966,0.00046045,0.00046045,0.00046045
111,182.61,0.80917,0.51069,0.8452,0.93625,0.84239,0.93575,0.61362,1.15114,0.58394,0.93296,0.0004555,0.0004555,0.0004555
112,184.261,0.8314,0.52388,0.85362,0.96109,0.88691,0.96665,0.65643,1.10315,0.56356,0.92176,0.00045055,0.00045055,0.00045055
113,185.905,0.85644,0.52111,0.85261,0.94308,0.89789,0.96389,0.62499,1.16329,0.57411,0.92806,0.0004456,0.0004456,0.0004456
114,187.535,0.83092,0.53102,0.85362,0.94998,0.91881,0.96828,0.61487,1.17798,0.60085,0.92999,0.00044065,0.00044065,0.00044065
115,189.157,0.82571,0.51362,0.85914,0.93636,0.92285,0.9626,0.61545,1.18448,0.59579,0.9289,0.0004357,0.0004357,0.0004357
116,190.797,0.8298,0.51678,0.85328,0.93225,0.904,0.95071,0.62762,1.15602,0.60028,0.91778,0.00043075,0.00043075,0.00043075
117,192.423,0.8067,0.50708,0.8571,0.91589,0.91068,0.95621,0.63957,1.11965,0.58699,0.90911,0.0004258,0.0004258,0.0004258
118,194.046,0.79979,0.51302,0.8509,0.9626,0.8659,0.95422,0.64289,1.11948,0.60358,0.91127,0.00042085,0.00042085,0.00042085
119,195.674,0.81386,0.51179,0.85294,0.91892,0.89767,0.95706,0.63075,1.15515,0.58258,0.93063,0.0004159,0.0004159,0.0004159
120,197.3,0.79009,0.50831,0.84053,0.94272,0.88422,0.94952,0.61992,1.19009,0.586,0.9446,0.00041095,0.00041095,0.00041095
121,198.926,0.82268,0.50921,0.84763,0.92513,0.91046,0.95723,0.63249,1.13594,0.59335,0.9269,0.000406,0.000406,0.000406
122,200.541,0.84947,0.51148,0.85557,0.89698,0.92232,0.9594,0.63751,1.1352,0.58257,0.92574,0.00040105,0.00040105,0.00040105
123,202.161,0.82233,0.5154,0.85196,0.96751,0.87819,0.95177,0.6142,1.14279,0.5957,0.92246,0.0003961,0.0003961,0.0003961
124,203.787,0.78516,0.49218,0.85041,0.94507,0.87653,0.94804,0.60884,1.16145,0.58982,0.93345,0.00039115,0.00039115,0.00039115
125,205.39,0.80153,0.498,0.84632,0.95413,0.8292,0.93733,0.61741,1.15407,0.5858,0.92849,0.0003862,0.0003862,0.0003862
126,207.012,0.7815,0.4993,0.83926,0.93647,0.89795,0.95487,0.62576,1.15728,0.5828,0.92319,0.00038125,0.00038125,0.00038125
127,208.666,0.7367,0.47964,0.83356,0.97267,0.89211,0.95626,0.62305,1.14264,0.5763,0.92707,0.0003763,0.0003763,0.0003763
128,210.39,0.78771,0.49838,0.85012,0.97106,0.90903,0.96293,0.63596,1.1092,0.5669,0.91612,0.00037135,0.00037135,0.00037135
129,212.033,0.78203,0.49464,0.84663,0.97218,0.86907,0.95903,0.63052,1.10705,0.56241,0.91453,0.0003664,0.0003664,0.0003664
130,213.635,0.76669,0.48323,0.83998,0.98301,0.92755,0.96448,0.64798,1.10424,0.57742,0.9184,0.00036145,0.00036145,0.00036145
131,215.25,0.80627,0.50447,0.84935,0.96024,0.93656,0.96073,0.6343,1.11165,0.57909,0.91588,0.0003565,0.0003565,0.0003565
132,216.884,0.787,0.49925,0.83905,0.95638,0.92602,0.96248,0.62861,1.10712,0.56589,0.91055,0.00035155,0.00035155,0.00035155
133,218.51,0.78245,0.4966,0.8454,0.98013,0.89674,0.95597,0.63522,1.09887,0.56624,0.90701,0.0003466,0.0003466,0.0003466
134,220.127,0.79735,0.49315,0.85414,0.94154,0.90909,0.96142,0.64776,1.11073,0.57238,0.91114,0.00034165,0.00034165,0.00034165
135,221.76,0.8006,0.4824,0.8425,0.97148,0.90419,0.9746,0.66069,1.08016,0.55573,0.90104,0.0003367,0.0003367,0.0003367
136,223.42,0.78183,0.46829,0.84713,0.97146,0.90913,0.96421,0.62867,1.139,0.56663,0.91919,0.00033175,0.00033175,0.00033175
137,225.05,0.76732,0.46262,0.83302,0.93404,0.93374,0.95672,0.62865,1.12888,0.57013,0.92549,0.0003268,0.0003268,0.0003268
138,226.671,0.74702,0.46296,0.83194,0.97532,0.8774,0.95957,0.63074,1.12031,0.56461,0.91335,0.00032185,0.00032185,0.00032185
139,228.299,0.75668,0.47745,0.84242,0.98487,0.89403,0.9628,0.63128,1.11386,0.56531,0.91124,0.0003169,0.0003169,0.0003169
140,229.926,0.77117,0.47888,0.83923,0.97187,0.92185,0.9658,0.63904,1.13012,0.56396,0.92193,0.00031195,0.00031195,0.00031195
141,231.541,0.75595,0.47389,0.83792,0.96415,0.93888,0.96772,0.64016,1.10191,0.5524,0.91626,0.000307,0.000307,0.000307
142,233.163,0.74627,0.46758,0.83566,0.94325,0.92927,0.96409,0.63117,1.10689,0.57108,0.91096,0.00030205,0.00030205,0.00030205
143,234.773,0.7734,0.47582,0.84647,0.97031,0.92436,0.96568,0.646,1.09089,0.56192,0.91297,0.0002971,0.0002971,0.0002971
144,236.399,0.75954,0.47363,0.83043,0.97517,0.91988,0.97089,0.64196,1.12382,0.56454,0.92049,0.00029215,0.00029215,0.00029215
145,238.018,0.75086,0.47132,0.83675,0.98797,0.9282,0.9686,0.64388,1.1027,0.56011,0.91749,0.0002872,0.0002872,0.0002872
146,239.632,0.74877,0.47082,0.8356,0.98776,0.91221,0.96526,0.651,1.12021,0.56918,0.9186,0.00028225,0.00028225,0.00028225
147,241.253,0.78361,0.48971,0.84001,0.97494,0.92723,0.96754,0.65756,1.08364,0.56006,0.91003,0.0002773,0.0002773,0.0002773
148,242.879,0.77216,0.46801,0.84254,0.98202,0.91568,0.96874,0.66488,1.08171,0.55325,0.90679,0.00027235,0.00027235,0.00027235
149,244.564,0.75953,0.45972,0.83663,0.9844,0.8996,0.97208,0.65281,1.10756,0.55284,0.91416,0.0002674,0.0002674,0.0002674
150,246.178,0.7234,0.4585,0.83885,0.98095,0.91173,0.96365,0.64505,1.12983,0.55936,0.92053,0.00026245,0.00026245,0.00026245
151,247.808,0.72875,0.45551,0.82721,0.98186,0.90621,0.96287,0.63235,1.14377,0.56805,0.92061,0.0002575,0.0002575,0.0002575
152,249.428,0.73787,0.45788,0.83276,0.97958,0.92619,0.96729,0.64557,1.09977,0.54641,0.91317,0.00025255,0.00025255,0.00025255
153,251.042,0.73856,0.46511,0.84328,0.96399,0.92542,0.9671,0.6531,1.10111,0.54458,0.9055,0.0002476,0.0002476,0.0002476
154,252.661,0.72165,0.44877,0.83648,0.99121,0.89529,0.96038,0.64692,1.09849,0.57312,0.90398,0.00024265,0.00024265,0.00024265
155,254.293,0.74659,0.4673,0.8443,0.99116,0.89255,0.96616,0.66133,1.07114,0.55393,0.9002,0.0002377,0.0002377,0.0002377
156,255.926,0.72641,0.45113,0.82451,0.98271,0.91191,0.97045,0.65644,1.11903,0.54959,0.91222,0.00023275,0.00023275,0.00023275
157,257.544,0.71676,0.44921,0.83745,0.95833,0.95167,0.97658,0.65912,1.09034,0.52971,0.90699,0.0002278,0.0002278,0.0002278
158,259.164,0.73385,0.46103,0.83454,0.96882,0.93538,0.97669,0.6435,1.09784,0.52703,0.91008,0.00022285,0.00022285,0.00022285
159,260.787,0.72746,0.45152,0.83396,0.95632,0.92523,0.96942,0.66355,1.10582,0.53957,0.90693,0.0002179,0.0002179,0.0002179
160,262.423,0.74198,0.45794,0.84238,0.9711,0.94123,0.97805,0.66002,1.11717,0.54783,0.92006,0.00021295,0.00021295,0.00021295
161,264.03,0.71133,0.44459,0.83529,0.97923,0.90075,0.96859,0.64684,1.11308,0.54872,0.91112,0.000208,0.000208,0.000208
162,265.653,0.72935,0.45555,0.83499,0.98642,0.89759,0.9738,0.64896,1.09042,0.552,0.90981,0.00020305,0.00020305,0.00020305
163,267.278,0.72868,0.45134,0.84567,0.97899,0.90154,0.97398,0.64462,1.12139,0.5526,0.91287,0.0001981,0.0001981,0.0001981
164,268.911,0.75612,0.46823,0.84942,0.97905,0.90486,0.97259,0.65373,1.11272,0.55559,0.91258,0.00019315,0.00019315,0.00019315
165,270.532,0.72794,0.45437,0.84283,0.93925,0.9239,0.97358,0.64218,1.11856,0.55604,0.9162,0.0001882,0.0001882,0.0001882
166,272.155,0.70637,0.44805,0.83213,0.93925,0.92087,0.96429,0.63795,1.12097,0.55799,0.91156,0.00018325,0.00018325,0.00018325
167,273.789,0.73011,0.45542,0.83403,0.96311,0.9204,0.97357,0.63364,1.12856,0.56063,0.91421,0.0001783,0.0001783,0.0001783
168,275.424,0.71501,0.44299,0.8335,0.95329,0.92058,0.97485,0.65097,1.12024,0.55203,0.91368,0.00017335,0.00017335,0.00017335
169,277.1,0.72308,0.43301,0.82969,0.95565,0.92818,0.97365,0.65258,1.11537,0.55713,0.90792,0.0001684,0.0001684,0.0001684
170,278.728,0.69733,0.43525,0.82693,0.94293,0.95334,0.97559,0.65219,1.11759,0.55198,0.90875,0.00016345,0.00016345,0.00016345
171,280.355,0.71532,0.44471,0.83512,0.95437,0.94266,0.97714,0.65776,1.10594,0.53072,0.90994,0.0001585,0.0001585,0.0001585
172,281.998,0.70161,0.44126,0.83165,0.95315,0.91568,0.97342,0.64767,1.10913,0.55343,0.91126,0.00015355,0.00015355,0.00015355
173,283.622,0.68699,0.4344,0.82926,0.96392,0.92778,0.97311,0.64022,1.12166,0.55202,0.91132,0.0001486,0.0001486,0.0001486
174,285.243,0.71375,0.44104,0.83325,0.95945,0.93603,0.97403,0.63313,1.11956,0.54522,0.91156,0.00014365,0.00014365,0.00014365
175,286.852,0.69701,0.44003,0.82665,0.97236,0.93473,0.97633,0.65107,1.0999,0.53661,0.91021,0.0001387,0.0001387,0.0001387
176,288.491,0.6832,0.43006,0.82191,0.93915,0.95257,0.97692,0.6555,1.09989,0.52981,0.9063,0.00013375,0.00013375,0.00013375
177,290.115,0.68439,0.42867,0.83335,0.9696,0.90614,0.9758,0.64919,1.11522,0.53366,0.90866,0.0001288,0.0001288,0.0001288
178,291.744,0.68172,0.43101,0.83477,0.98172,0.90846,0.97616,0.6494,1.13019,0.54607,0.91205,0.00012385,0.00012385,0.00012385
179,293.374,0.67721,0.42481,0.81928,0.96927,0.927,0.97164,0.65861,1.11787,0.54284,0.91452,0.0001189,0.0001189,0.0001189
180,295.011,0.67573,0.41847,0.8331,0.95353,0.93257,0.96936,0.65617,1.11375,0.53802,0.91112,0.00011395,0.00011395,0.00011395
181,296.639,0.68753,0.43057,0.83437,0.97903,0.91267,0.97803,0.65672,1.10267,0.53564,0.91076,0.000109,0.000109,0.000109
182,298.269,0.71615,0.44273,0.83471,0.97616,0.93741,0.97511,0.66407,1.10449,0.53775,0.91039,0.00010405,0.00010405,0.00010405
183,299.9,0.6773,0.43195,0.82609,0.97602,0.92817,0.97612,0.65838,1.0994,0.53179,0.90524,9.91e-05,9.91e-05,9.91e-05
184,301.528,0.68172,0.42165,0.82131,0.93288,0.9475,0.97225,0.66227,1.09443,0.54256,0.90583,9.415e-05,9.415e-05,9.415e-05
185,303.146,0.68524,0.43249,0.82714,0.97378,0.92064,0.97676,0.65901,1.09984,0.53655,0.91089,8.92e-05,8.92e-05,8.92e-05
