epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51967,2.52722,5.24798,1.44492,0.00082,0.05671,0.001,0.00022,1.87045,4.32945,1.06882,0.00032,0.00032,0.00032
2,6.1007,1.94228,3.085,1.13319,0.00333,0.20606,0.16007,0.10371,1.7491,3.66303,1.10722,0.000643565,0.000643565,0.000643565
3,8.74726,1.74548,2.33007,1.08591,1,0.07791,0.36625,0.20699,1.71818,2.89403,1.08442,0.000960596,0.000960596,0.000960596
4,11.3068,1.68544,1.98455,1.07064,0.69988,0.29482,0.51192,0.26988,1.63679,2.14976,1.04863,0.0009703,0.0009703,0.0009703
5,13.8297,1.57249,1.75639,1.05187,0.6154,0.46519,0.53444,0.28629,1.58995,1.67814,1.04532,0.0009604,0.0009604,0.0009604
6,16.3521,1.50667,1.54269,1.03184,0.63944,0.53688,0.61389,0.31992,1.58477,1.33891,1.0239,0.0009505,0.0009505,0.0009505
7,18.8708,1.46803,1.45898,1.01942,0.79083,0.47424,0.64479,0.37827,1.42094,1.4228,0.99458,0.0009406,0.0009406,0.0009406
8,21.3873,1.4213,1.37097,1.0117,0.67972,0.53497,0.67419,0.37743,1.47378,1.24163,1.01174,0.0009307,0.0009307,0.0009307
9,23.8871,1.37106,1.27945,0.99448,0.75179,0.69822,0.80375,0.43733,1.4476,1.14582,1.00671,0.0009208,0.0009208,0.0009208
10,26.4154,1.33266,1.17672,0.98821,0.73032,0.78256,0.84185,0.46758,1.36427,0.95564,0.99044,0.0009109,0.0009109,0.0009109
11,28.9335,1.33207,1.16042,0.98725,0.76856,0.80661,0.83293,0.4864,1.30395,0.93789,0.97808,0.000901,0.000901,0.000901
12,31.4752,1.25821,1.07701,0.97392,0.82503,0.81001,0.87027,0.49984,1.39461,0.94608,0.99043,0.0008911,0.0008911,0.0008911
13,34.0084,1.30702,1.08143,0.97697,0.66673,0.76989,0.85664,0.52203,1.30381,1.02718,0.96765,0.0008812,0.0008812,0.0008812
14,36.5195,1.25114,1.01965,0.96071,0.89424,0.88869,0.93654,0.57574,1.2489,0.82118,0.95239,0.0008713,0.0008713,0.0008713
15,39.0379,1.26526,1.00191,0.95795,0.87103,0.84242,0.90326,0.52953,1.29861,0.84301,0.96325,0.0008614,0.0008614,0.0008614
16,41.5595,1.2258,0.94093,0.94552,0.72686,0.80584,0.82184,0.49976,1.29057,0.85549,0.9616,0.0008515,0.0008515,0.0008515
17,44.0716,1.20411,0.93342,0.95253,0.74411,0.75433,0.82324,0.51488,1.15462,0.84511,0.93962,0.0008416,0.0008416,0.0008416
18,46.5757,1.22598,0.93925,0.95008,0.82261,0.81823,0.88194,0.50588,1.27955,0.87408,0.96446,0.0008317,0.0008317,0.0008317
19,49.0807,1.17016,0.88475,0.93642,0.8231,0.82553,0.86645,0.55432,1.22362,0.77939,0.95284,0.0008218,0.0008218,0.0008218
20,51.5912,1.14221,0.85186,0.93215,0.87867,0.91515,0.9046,0.56082,1.17431,0.73422,0.93847,0.0008119,0.0008119,0.0008119
21,54.0835,1.12129,0.81902,0.91867,0.91522,0.89719,0.94785,0.58191,1.19781,0.72619,0.94685,0.000802,0.000802,0.000802
22,56.6026,1.12639,0.83856,0.92963,0.8968,0.88939,0.93853,0.56685,1.27538,0.72934,0.96332,0.0007921,0.0007921,0.0007921
23,59.1009,1.10283,0.79475,0.91549,0.87979,0.91316,0.94371,0.57118,1.23553,0.72909,0.94753,0.0007822,0.0007822,0.0007822
24,61.6144,1.10404,0.79357,0.91311,0.88505,0.9343,0.95758,0.5767,1.19464,0.7169,0.93382,0.0007723,0.0007723,0.0007723
25,64.1297,1.11084,0.81554,0.91723,0.86169,0.86758,0.94606,0.55145,1.21926,0.75683,0.95344,0.0007624,0.0007624,0.0007624
26,66.6258,1.11066,0.7863,0.91509,0.86051,0.91394,0.92589,0.56543,1.21549,0.76572,0.93471,0.0007525,0.0007525,0.0007525
27,69.1262,1.1241,0.76639,0.91952,0.94323,0.88802,0.95487,0.60749,1.1853,0.73348,0.93908,0.0007426,0.0007426,0.0007426
28,71.6716,1.05926,0.75168,0.9039,0.90314,0.91436,0.95422,0.6164,1.11132,0.66993,0.92287,0.0007327,0.0007327,0.0007327
29,74.2539,1.08114,0.74697,0.91417,0.86555,0.89624,0.9284,0.57346,1.22583,0.72232,0.93809,0.0007228,0.0007228,0.0007228
30,76.7395,1.06139,0.73141,0.90629,0.92028,0.93127,0.95554,0.59657,1.23377,0.69631,0.93915,0.0007129,0.0007129,0.0007129
31,79.2269,1.04466,0.72076,0.90637,0.89208,0.91877,0.94286,0.618,1.16358,0.68859,0.93086,0.000703,0.000703,0.000703
32,81.7617,1.05757,0.71814,0.89668,0.92444,0.89964,0.949,0.56321,1.24486,0.71831,0.9457,0.0006931,0.0006931,0.0006931
33,84.2598,1.03935,0.70101,0.90417,0.89379,0.92078,0.95467,0.58423,1.17884,0.68413,0.93341,0.0006832,0.0006832,0.0006832
34,86.7512,1.03192,0.70388,0.90037,0.93434,0.92259,0.96099,0.61026,1.18549,0.66372,0.93331,0.0006733,0.0006733,0.0006733
35,89.2318,1.03864,0.69561,0.89825,0.92031,0.91858,0.94859,0.57714,1.15003,0.66427,0.93404,0.0006634,0.0006634,0.0006634
36,91.7421,1.02293,0.69598,0.89859,0.87584,0.92706,0.95176,0.61479,1.13672,0.66168,0.92093,0.0006535,0.0006535,0.0006535
37,94.2414,1.0047,0.67497,0.8907,0.91024,0.88895,0.91408,0.58079,1.21819,0.69144,0.94926,0.0006436,0.0006436,0.0006436
38,96.7365,1.00129,0.67607,0.89832,0.91698,0.90838,0.95509,0.62545,1.1704,0.65313,0.9312,0.0006337,0.0006337,0.0006337
39,99.2645,0.9937,0.66626,0.89321,0.90614,0.89809,0.95885,0.61069,1.16106,0.65545,0.93534,0.0006238,0.0006238,0.0006238
40,101.773,0.9837,0.6603,0.88773,0.95079,0.91853,0.96227,0.60548,1.13597,0.65212,0.92045,0.0006139,0.0006139,0.0006139
41,104.276,0.99714,0.65134,0.88446,0.95304,0.92053,0.96231,0.63203,1.10986,0.61561,0.91915,0.000604,0.000604,0.000604
42,106.814,1.01216,0.65897,0.89538,0.95873,0.92968,0.96967,0.61331,1.16472,0.64248,0.92306,0.0005941,0.0005941,0.0005941
