epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24794,2.45475,4.32251,1.4127,1,0.0616,0.26829,0.14302,1.97184,3.07456,1.20071,0.000329749,0.000329749,0.000329749
2,15.385,1.91621,2.32765,1.15946,0.62622,0.4229,0.48537,0.2329,1.88441,1.68296,1.15331,0.0006598,0.0006598,0.0006598
3,22.1727,1.75614,1.86647,1.11222,0.8051,0.51067,0.62047,0.31972,1.68314,1.38199,1.10676,0.000986551,0.000986551,0.000986551
4,28.952,1.63015,1.55952,1.07133,0.74906,0.62783,0.71243,0.39523,1.54958,1.2056,1.08631,0.00098515,0.00098515,0.00098515
5,35.6747,1.55457,1.36394,1.05206,0.74269,0.65413,0.7249,0.3983,1.5365,1.26307,1.05642,0.0009802,0.0009802,0.0009802
6,42.3914,1.50264,1.21915,1.03478,0.81431,0.70366,0.78552,0.45957,1.43657,1.0563,1.04215,0.00097525,0.00097525,0.00097525
7,49.1049,1.43768,1.1199,1.01082,0.83374,0.70154,0.78887,0.44065,1.50464,1.02223,1.05148,0.0009703,0.0009703,0.0009703
8,55.7963,1.4338,1.10388,1.00785,0.8559,0.71238,0.80564,0.43997,1.4885,1.00019,1.04582,0.00096535,0.00096535,0.00096535
9,62.6433,1.40035,1.05204,1.00813,0.8544,0.76121,0.84546,0.46909,1.45929,0.96162,1.06024,0.0009604,0.0009604,0.0009604
10,69.3831,1.35141,0.98877,0.99241,0.85253,0.75274,0.83789,0.47551,1.42133,0.93511,1.02463,0.00095545,0.00095545,0.00095545
11,76.0759,1.34302,0.95539,0.99288,0.83149,0.78454,0.85282,0.49344,1.4425,0.90166,1.03642,0.0009505,0.0009505,0.0009505
12,82.8048,1.3329,0.92999,0.98388,0.90501,0.77793,0.87216,0.51373,1.36883,0.87198,1.06194,0.00094555,0.00094555,0.00094555
13,89.5342,1.30908,0.9132,0.9848,0.87695,0.76801,0.86856,0.50727,1.38582,0.85336,1.03669,0.0009406,0.0009406,0.0009406
14,96.2293,1.3264,0.89424,0.9957,0.86941,0.76967,0.85795,0.49492,1.40379,0.87845,1.02286,0.00093565,0.00093565,0.00093565
15,102.946,1.25682,0.86489,0.96472,0.93953,0.79501,0.89798,0.52915,1.35931,0.81007,1.01165,0.0009307,0.0009307,0.0009307
16,109.647,1.24654,0.85963,0.96436,0.88919,0.81647,0.88556,0.50007,1.36697,0.81759,1.01405,0.00092575,0.00092575,0.00092575
17,116.436,1.2308,0.82488,0.96137,0.91572,0.82692,0.89827,0.51245,1.32979,0.7884,1.0239,0.0009208,0.0009208,0.0009208
18,123.127,1.25907,0.85154,0.97184,0.93401,0.78149,0.87901,0.5168,1.36338,0.84599,1.02036,0.00091585,0.00091585,0.00091585
19,129.85,1.23414,0.81152,0.9655,0.87525,0.8326,0.90188,0.53106,1.31552,0.78659,1.00868,0.0009109,0.0009109,0.0009109
20,136.58,1.23336,0.81388,0.95619,0.91895,0.83922,0.90726,0.55813,1.28257,0.74801,1.00658,0.00090595,0.00090595,0.00090595
21,143.306,1.17018,0.77243,0.94593,0.91952,0.82018,0.90818,0.53399,1.36472,0.80056,1.03999,0.000901,0.000901,0.000901
