epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.64635,2.51321,5.58303,1.48671,0,0,0,0,1.98517,4.42413,1.1678,0.0002222,0.0002222,0.0002222
2,4.35349,2.13116,3.94925,1.16766,0.00065,0.09762,0.04148,0.02356,1.8441,3.86279,1.09307,0.000453255,0.000453255,0.000453255
3,6.03073,1.87812,2.76336,1.12278,0.32994,0.06627,0.08651,0.05871,1.67706,3.74296,1.09936,0.000682001,0.000682001,0.000682001
4,7.79685,1.80726,2.44795,1.08474,1,0.07569,0.33808,0.16497,1.75616,3.06843,1.13113,0.000908436,0.000908436,0.000908436
5,9.45479,1.73574,2.01458,1.08076,0.89437,0.28277,0.50435,0.26542,1.73381,2.31375,1.11323,0.001089,0.001089,0.001089
6,11.0953,1.64166,1.87049,1.06455,0.92717,0.19136,0.48131,0.23119,1.66893,2.44061,1.10292,0.0010835,0.0010835,0.0010835
7,12.7173,1.6163,1.72236,1.05353,0.8469,0.56706,0.61307,0.2923,1.64539,1.14533,1.09488,0.001078,0.001078,0.001078
8,14.365,1.51197,1.57499,1.01831,0.82811,0.43141,0.51917,0.24831,1.63587,1.75673,1.06833,0.0010725,0.0010725,0.0010725
9,15.9802,1.48816,1.51992,1.00842,0.46445,0.52827,0.51561,0.24762,1.64462,1.25783,1.06895,0.001067,0.001067,0.001067
10,17.5826,1.41589,1.44188,0.9795,0.71013,0.60476,0.68681,0.34248,1.57099,1.07766,1.04518,0.0010615,0.0010615,0.0010615
11,19.2042,1.42381,1.3642,0.99447,0.7443,0.70393,0.76731,0.41445,1.48479,1.01926,1.01065,0.00105601,0.00105601,0.00105601
12,20.8589,1.43603,1.58059,1.00538,0.80802,0.7042,0.79011,0.38235,1.45335,1.00416,1.01788,0.00105051,0.00105051,0.00105051
13,22.4668,1.43163,1.3118,0.98498,0.73954,0.73425,0.8149,0.44587,1.41585,1.02065,1.00767,0.00104501,0.00104501,0.00104501
14,24.0968,1.3241,1.14676,0.96421,0.82939,0.83968,0.84421,0.50189,1.41159,0.89211,1.00569,0.00103951,0.00103951,0.00103951
15,25.7162,1.32414,1.18401,0.95524,0.85517,0.79174,0.83054,0.48806,1.49866,0.95441,1.02288,0.00103401,0.00103401,0.00103401
16,27.3416,1.2593,1.29821,0.95815,0.78737,0.68899,0.81218,0.47966,1.47886,0.946,1.03026,0.00102851,0.00102851,0.00102851
17,28.9534,1.27318,1.097,0.94121,0.91338,0.81996,0.86012,0.52959,1.30815,0.85746,0.96428,0.00102301,0.00102301,0.00102301
18,30.5718,1.25861,1.02365,0.94394,0.90028,0.80835,0.84095,0.47833,1.38581,0.86532,0.98662,0.00101751,0.00101751,0.00101751
19,32.1908,1.22848,1.02489,0.94662,0.92094,0.80378,0.89695,0.52694,1.33655,0.81625,0.9916,0.00101201,0.00101201,0.00101201
20,33.8152,1.25675,1.02505,0.95658,0.89557,0.86111,0.87801,0.54641,1.27215,0.82688,0.9611,0.00100651,0.00100651,0.00100651
21,35.4645,1.25975,0.97801,0.94168,0.88667,0.86217,0.876,0.55486,1.2654,0.84585,0.95248,0.00100101,0.00100101,0.00100101
22,37.1109,1.21119,0.93069,0.92835,0.84636,0.82932,0.84981,0.5139,1.29152,0.85088,0.96912,0.000995512,0.000995512,0.000995512
23,38.7183,1.24324,0.9717,0.94592,0.85576,0.84078,0.87208,0.53256,1.27217,0.77828,0.96123,0.000990012,0.000990012,0.000990012
24,40.4425,1.21444,0.94867,0.93506,0.82964,0.8524,0.87072,0.54458,1.34296,0.79781,0.98202,0.000984513,0.000984513,0.000984513
25,42.2824,1.15479,0.87366,0.93,0.87795,0.80528,0.84724,0.5264,1.24867,0.78603,0.95788,0.000979013,0.000979013,0.000979013
26,43.8927,1.14022,0.85996,0.91332,0.90387,0.72548,0.83038,0.53135,1.28293,0.78366,0.95852,0.000973514,0.000973514,0.000973514
27,45.5005,1.15867,0.89307,0.91122,0.93735,0.80765,0.87168,0.5425,1.23811,0.75067,0.94905,0.000968014,0.000968014,0.000968014
28,47.1304,1.14276,0.85112,0.9276,0.90365,0.84919,0.8737,0.54601,1.20841,0.74223,0.94982,0.000962515,0.000962515,0.000962515
29,48.7506,1.14015,0.81492,0.92557,0.89251,0.80817,0.87067,0.5186,1.26968,0.74811,0.95527,0.000957015,0.000957015,0.000957015
30,50.3422,1.10441,0.81411,0.90782,0.95119,0.80901,0.88125,0.57741,1.21117,0.74127,0.93858,0.000951516,0.000951516,0.000951516
31,51.9863,1.15786,0.85369,0.92495,0.91448,0.83262,0.88979,0.5782,1.20793,0.75057,0.93987,0.000946016,0.000946016,0.000946016
32,53.6475,1.11049,0.77702,0.9144,0.92699,0.82673,0.86975,0.5341,1.2643,0.79488,0.97003,0.000940517,0.000940517,0.000940517
33,55.2545,1.13318,0.78757,0.91328,0.94233,0.78706,0.89816,0.56303,1.24337,0.77409,0.95879,0.000935018,0.000935018,0.000935018
34,56.88,1.14241,0.78731,0.91024,0.88607,0.85862,0.88763,0.57175,1.28466,0.74668,0.96308,0.000929518,0.000929518,0.000929518
35,58.4991,1.07602,0.76259,0.91119,0.91539,0.82755,0.87823,0.54862,1.27286,0.73198,0.96681,0.000924019,0.000924019,0.000924019
36,60.1327,1.09785,0.79135,0.90163,0.96247,0.79491,0.88837,0.57134,1.19139,0.69329,0.94171,0.000918519,0.000918519,0.000918519
37,61.7497,1.09166,0.76715,0.90846,0.94798,0.81866,0.8905,0.57317,1.23707,0.70481,0.95138,0.00091302,0.00091302,0.00091302
38,63.3691,1.12391,0.7533,0.92085,0.95867,0.84046,0.9071,0.56729,1.23762,0.68925,0.94628,0.00090752,0.00090752,0.00090752
39,64.9748,1.07059,0.72519,0.90675,0.94876,0.85662,0.90245,0.55515,1.22019,0.69369,0.94022,0.000902021,0.000902021,0.000902021
40,66.6016,1.09474,0.76209,0.91009,0.95758,0.84549,0.88674,0.55317,1.29122,0.74537,0.96818,0.000896521,0.000896521,0.000896521
41,68.2207,1.05017,0.72727,0.89891,0.95982,0.84078,0.88363,0.55693,1.19463,0.70765,0.94726,0.000891022,0.000891022,0.000891022
42,69.8274,1.07088,0.7187,0.90105,0.96864,0.83345,0.90542,0.56268,1.21836,0.71836,0.94288,0.000885523,0.000885523,0.000885523
43,71.4334,1.01446,0.70763,0.90135,0.92685,0.85084,0.90185,0.60361,1.18368,0.69878,0.9324,0.000880023,0.000880023,0.000880023
44,73.063,1.03671,0.70203,0.89647,0.93618,0.84139,0.89446,0.56057,1.22673,0.70488,0.94,0.000874524,0.000874524,0.000874524
45,74.7415,1.03374,0.70374,0.8865,0.9764,0.84736,0.89598,0.57757,1.18592,0.68827,0.9366,0.000869024,0.000869024,0.000869024
46,76.434,1.04997,0.71948,0.8995,0.95875,0.82581,0.91325,0.59549,1.15827,0.66769,0.93149,0.000863525,0.000863525,0.000863525
47,78.0513,1.00262,0.66775,0.87853,0.94567,0.87368,0.91342,0.60879,1.17341,0.65669,0.93153,0.000858025,0.000858025,0.000858025
48,79.709,0.98454,0.66712,0.8848,0.94463,0.83222,0.87478,0.54157,1.25432,0.74412,0.94619,0.000852526,0.000852526,0.000852526
49,81.327,0.99837,0.66394,0.87266,0.92674,0.83148,0.89265,0.56704,1.21678,0.69163,0.94484,0.000847026,0.000847026,0.000847026
50,82.9381,1.00065,0.6653,0.89104,0.96658,0.84332,0.91477,0.59593,1.19267,0.67914,0.94102,0.000841527,0.000841527,0.000841527
51,84.5482,0.98113,0.65203,0.88372,0.94753,0.8508,0.91226,0.58688,1.17775,0.64675,0.93506,0.000836027,0.000836027,0.000836027
52,86.1675,1.00665,0.6678,0.89111,0.95819,0.81888,0.90647,0.57611,1.22652,0.66047,0.94231,0.000830528,0.000830528,0.000830528
53,87.7791,1.01286,0.66897,0.87921,0.93292,0.87654,0.91167,0.59933,1.17707,0.66117,0.92571,0.000825029,0.000825029,0.000825029
54,89.386,1.01343,0.66654,0.87461,0.9746,0.88465,0.91729,0.58748,1.20329,0.65769,0.93344,0.000819529,0.000819529,0.000819529
55,91.0014,0.97991,0.63013,0.87281,0.9626,0.85943,0.91431,0.59597,1.2003,0.65617,0.93779,0.00081403,0.00081403,0.00081403
56,92.617,0.98695,0.62126,0.86765,0.95734,0.88979,0.91337,0.59269,1.15248,0.62874,0.9314,0.00080853,0.00080853,0.00080853
57,94.2364,0.97387,0.64315,0.87322,0.92506,0.85866,0.91634,0.5842,1.18814,0.66014,0.94276,0.000803031,0.000803031,0.000803031
58,95.9765,0.94331,0.62079,0.86399,0.94646,0.89288,0.91525,0.60387,1.1924,0.62624,0.93585,0.000797531,0.000797531,0.000797531
59,97.6336,0.9398,0.62359,0.87716,0.93575,0.85454,0.90952,0.56959,1.2109,0.66506,0.95008,0.000792032,0.000792032,0.000792032
60,99.2497,0.94442,0.61657,0.86737,0.94593,0.85054,0.90507,0.60106,1.16042,0.6139,0.9271,0.000786532,0.000786532,0.000786532
61,100.861,0.94553,0.64115,0.86893,0.96599,0.88164,0.91268,0.59729,1.1513,0.62865,0.9226,0.000781033,0.000781033,0.000781033
62,102.465,0.95762,0.61529,0.8808,0.9736,0.84402,0.92163,0.60603,1.15791,0.63395,0.92414,0.000775534,0.000775534,0.000775534
63,104.079,0.92133,0.60604,0.86258,0.95676,0.86895,0.92267,0.61636,1.11134,0.61068,0.9134,0.000770034,0.000770034,0.000770034
64,105.728,0.93627,0.59993,0.87538,0.96496,0.84373,0.9061,0.5888,1.18169,0.62081,0.92773,0.000764535,0.000764535,0.000764535
65,107.351,0.9513,0.59755,0.87111,0.94617,0.86975,0.89651,0.60632,1.11134,0.63352,0.9133,0.000759035,0.000759035,0.000759035
66,109.079,0.86944,0.57206,0.85409,0.95156,0.83534,0.91325,0.60466,1.14414,0.6171,0.92129,0.000753536,0.000753536,0.000753536
67,110.699,0.92509,0.58106,0.8632,0.95269,0.8799,0.91666,0.5765,1.14995,0.62938,0.91913,0.000748036,0.000748036,0.000748036
68,112.316,0.96794,0.60001,0.86595,0.9579,0.86123,0.91372,0.59662,1.15174,0.65993,0.92895,0.000742537,0.000742537,0.000742537
69,113.933,0.9388,0.58854,0.86282,0.95124,0.85181,0.90585,0.58713,1.19756,0.66006,0.94129,0.000737037,0.000737037,0.000737037
70,115.551,0.92354,0.59666,0.86749,0.94934,0.88528,0.91943,0.58718,1.15461,0.63316,0.92911,0.000731538,0.000731538,0.000731538
71,117.162,0.95243,0.60299,0.87454,0.94338,0.84326,0.90675,0.59488,1.13674,0.64028,0.93319,0.000726038,0.000726038,0.000726038
72,118.8,0.90807,0.59068,0.87091,0.95561,0.8638,0.92299,0.62267,1.11679,0.60877,0.91907,0.000720539,0.000720539,0.000720539
73,120.438,0.90842,0.59356,0.8597,0.96656,0.87697,0.92522,0.63476,1.15821,0.60718,0.92695,0.00071504,0.00071504,0.00071504
74,122.129,0.90474,0.57616,0.86991,0.96045,0.89613,0.92683,0.58981,1.16338,0.61286,0.92461,0.00070954,0.00070954,0.00070954
75,123.754,0.91581,0.59484,0.85988,0.97282,0.87522,0.92199,0.61101,1.15404,0.63767,0.92406,0.000704041,0.000704041,0.000704041
76,125.365,0.87944,0.56257,0.85576,0.9612,0.84647,0.90274,0.58539,1.18883,0.65982,0.92241,0.000698541,0.000698541,0.000698541
77,126.964,0.88976,0.55516,0.85394,0.95511,0.81824,0.91124,0.5943,1.17304,0.63186,0.91805,0.000693042,0.000693042,0.000693042
78,128.618,0.88589,0.55643,0.85535,0.97123,0.83769,0.91123,0.61533,1.18153,0.62464,0.92599,0.000687542,0.000687542,0.000687542
